iter	Passed	Remaining
0	0	75
1	1	73
2	2	71
3	2	67
4	3	64
5	3	61
6	4	59
7	5	58
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	50
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	44
23	13	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	41
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
